source_id,b_mag,g_mag,r_mag,teff,d_parallax,d_gspphot,ebv_gspphot,b_r_abs,g_abs,logg_gspphot
141871359733120,19.986038,18.794903,17.767536,3437.7397,864.6102314554701,456.121,0.0503,2.168202000000001,9.02320114751426,4.6019
142730353190144,11.734409,11.395856,10.883077,5718.395,191.61533099751185,185.4118,0.0629,0.7884319999999994,4.867004731473781,4.4244
142936511623680,16.173933,15.768307,15.199205,5331.367,1149.522228651094,913.3447,0.0486,0.9261280000000025,5.374720131163722,4.6392
143043886448000,16.942413,16.572649,16.028719,5274.06,1575.731424860836,1777.9866,0.0034,0.9102939999999996,5.579038018752456,4.3871
143353124093184,18.311436,17.426823,16.47276,4066.2004,714.475766267015,1077.4019,0.1959,1.6427759999999996,7.797085485554673,4.3972
143421843569792,12.321452,11.904145,11.32481,5223.823,202.19418672430297,201.5889,0.014,0.9826420000000013,5.348801674730282,4.4855
143456203308032,16.176844,15.818897,15.290471,5484.002,1258.0639833438402,951.7247,0.0331,0.853272999999999,5.259583353648772,4.6299
143593642261120,14.776985,14.100321,13.306323,4465.4883,247.34650752407833,250.1142,0.1153,1.355361999999999,6.914292086974623,4.6356
143795505087872,19.691086,18.420435,17.311443,3311.3037,557.3525284220431,343.7879,0.0368,2.342842999999998,9.62988512180144,4.5447
143864224567168,16.749477,16.20788,15.481564,4769.986,1091.6496427547881,894.0311,0.0667,1.2012129999999983,5.889963615082834,4.6027
144173462210176,20.307852,18.618753,17.445202,3210.2817,330.021461919022,273.3901,0.1497,2.712950000000002,10.7977420810663,4.7023
144280837028736,14.520637,14.047654,13.417621,5067.969,494.7547143421572,494.0622,0.0883,1.0147160000000002,5.410304294318996,4.4277
144315196767744,19.203028,17.90017,16.76859,3451.3662,434.07154799981726,388.1092,0.1855,2.248938,9.414163399205895,4.6947
144590074673920,16.029963,15.673472,15.136888,5396.5977,3251.1600380302816,1668.7366,0.0189,0.8741749999999978,3.0786802593745453,4.2188
144929376460416,19.033308,17.81772,16.736786,3693.78,650.9280517569237,936.4872,0.2998,1.996722000000003,8.24455506062882,4.3017
145169894618112,17.010166,16.152475,15.249792,4251.421,520.7157478473823,500.3582,0.2536,1.5067740000000023,7.095471439451371,4.5975
145238614096768,17.232805,16.938787,16.476128,5834.663,2597.703452560785,1969.2195,0.004,0.7526769999999998,4.858639142118086,4.6039
145582211474560,13.808737,13.253917,12.553111,4970.542,3341.756032891966,2282.9854,0.1863,1.0693260000000013,0.2815432962052018,2.9178
145994528344704,17.799566,17.345213,16.717875,4917.4565,2300.967975467438,1469.9236,0.0056,1.0760909999999992,5.525160128678863,4.6664
146101903141888,16.14709,15.664488,15.018446,4939.686,979.0440507813715,926.5551,0.0397,1.0889439999999977,5.635276836281145,4.4939
146170622618752,15.433089,15.166709,14.734747,6421.969,2040.6583377572206,1813.1802,0.1077,0.5906420000000002,3.419757510098318,4.1805
146170622618880,20.00236,18.869215,17.658552,3251.6267,468.8853052510515,346.8229,0.0195,2.3243079999999994,10.483481888645091,4.9692
146475564682496,18.725422,17.491417,16.40042,3447.9915,418.15272431575687,328.6922,0.1729,2.152101999999998,9.095042346943533,4.4555
146544284158336,19.329144,18.330488,17.398584,3816.4436,883.5336208891846,808.2169,0.091,1.8395599999999999,8.434272598704393,4.7822
146686018695424,19.948545,18.792917,17.693161,3313.5369,613.3326963189787,395.1476,0.006,2.2493839999999996,9.844636413865544,4.6102
147368917880960,17.249046,16.888615,16.379597,5420.446,2296.4215977134872,1499.5074,0.0059,0.8635489999999995,5.072456886352519,4.6703
147403277621120,19.306456,17.959267,16.810165,3462.4492,412.8352580163973,349.3155,0.2459,2.2503909999999996,9.487983095323889,4.8801
147579371889408,18.340734,17.445261,16.522354,4126.021,1012.4522909957637,991.1661,0.2207,1.5976800000000013,7.00988816276622,4.5012
