# wave is rest wavelength in Angstroms
# flux in 1e-18 erg s^-1 cm^-2 Angstrom^-1
wave,flux
5.196564108558683074e+03,7.944465867404408577e-02
5.199412571665039650e+03,7.303742293706130817e-02
5.202261034771396226e+03,6.734655287932274359e-02
5.205109497877751892e+03,8.673016050851783953e-02
5.207957960984108468e+03,8.275911142909088414e-02
5.210806424090465043e+03,8.168547554750305029e-02
5.213654887196821619e+03,3.231058774402821576e-02
5.216503350303179104e+03,6.670678884428010713e-02
5.219351813409534770e+03,5.699930264675865527e-02
5.222200276515891346e+03,3.261808232587773415e-02
5.225048739622247922e+03,4.590446646764531624e-02
5.227897202728604498e+03,7.838845427989403480e-02
5.230745665834960164e+03,3.293048699649236272e-02
5.233594128941316740e+03,4.252241769162633245e-02
5.236442592047673315e+03,1.349235216622766409e-01
5.239291055154029891e+03,9.388043316381823600e-02
5.242139518260387376e+03,1.072469513788654738e-01
5.244987981366743043e+03,7.998739456918183000e-02
5.247836444473099618e+03,8.441904721174914306e-02
5.250684907579456194e+03,4.777772228937577498e-02
5.253533370685811860e+03,8.880674538640495608e-02
5.256381833792168436e+03,7.915225219557080194e-02
5.259230296898525012e+03,4.584490637077904412e-02
5.262078760004881588e+03,6.243386211829778099e-02
5.264927223111237254e+03,3.486225616037068320e-02
5.267775686217594739e+03,5.297990313819494340e-02
5.270624149323951315e+03,7.926930547380221792e-02
5.273472612430307890e+03,1.967187087967371684e-02
5.276321075536664466e+03,-6.082566758019050494e-03
5.279169538643020132e+03,9.544011349902396801e-03
5.282018001749376708e+03,3.024422866679133196e-02
5.284866464855733284e+03,5.920428490059991000e-02
5.287714927962089860e+03,7.631178174726911678e-02
5.290563391068445526e+03,4.257879503952258921e-02
5.293411854174803011e+03,2.881406682495117610e-02
5.296260317281159587e+03,7.188258477634598687e-02
5.299108780387516163e+03,2.938620058223799167e-02
5.301957243493871829e+03,2.528697944661931554e-02
5.304805706600228405e+03,2.861495845014464662e-02
5.307654169706584980e+03,2.928397897448989720e-02
5.310502632812941556e+03,7.296903106181738818e-02
5.313351095919297222e+03,4.146345437567573039e-02
5.316199559025653798e+03,7.355704509479858710e-02
5.319048022132011283e+03,7.376267609129501246e-02
5.321896485238367859e+03,1.212774061031052057e-02
5.324744948344724435e+03,1.075727628504942295e-02
5.327593411451080101e+03,5.924604812933058524e-03
5.330441874557436677e+03,3.617293527576396356e-02
5.333290337663793252e+03,1.546612139278096508e-02
5.336138800770148919e+03,3.956979904061585368e-02
5.338987263876505494e+03,4.441609701547540728e-02
5.341835726982862070e+03,2.694074556277539084e-02
5.344684190089219555e+03,5.540728240927294407e-02
5.347532653195576131e+03,-1.703010960391875700e-04
5.350381116301931797e+03,7.008724819567076214e-02
5.353229579408288373e+03,6.835893274100439398e-02
5.356078042514644949e+03,3.105492368494946684e-02
5.358926505621001525e+03,4.922749490622671531e-02
5.361774968727357191e+03,4.159147437776353901e-02
5.364623431833713767e+03,5.464019430432294488e-02
5.367471894940071252e+03,6.673317746204787682e-02
5.370320358046427828e+03,3.693022548952004658e-02
5.373168821152783494e+03,3.768681237455592803e-02
5.376017284259140069e+03,4.763261910574034808e-02
5.378865747365496645e+03,9.102453351846268026e-02
5.381714210471853221e+03,4.798322010476913091e-02
5.384562673578208887e+03,2.859591451537858708e-02
5.387411136684565463e+03,6.274576015394763007e-02
5.390259599790922039e+03,5.494507134710868018e-02
5.393108062897279524e+03,4.786920989904535489e-02
5.395956526003636100e+03,3.996268009852672193e-02
5.398804989109991766e+03,3.250771103085980246e-02
5.401653452216348342e+03,1.752732997521276592e-02
5.404501915322704917e+03,3.506779022829449935e-03
5.407350378429061493e+03,2.106927554421884896e-02
5.410198841535417159e+03,7.559094541159792902e-02
5.413047304641773735e+03,5.111171065534847457e-02
5.415895767748130311e+03,6.654922574921662282e-02
5.418744230854487796e+03,3.336451491178189094e-02
5.421592693960843462e+03,7.509485245893704475e-02
5.424441157067200038e+03,4.208925500644541268e-02
5.427289620173556614e+03,2.736236358977375480e-02
5.430138083279913189e+03,4.962934121793049352e-02
5.432986546386268856e+03,1.031571252489479028e-02
5.435835009492625431e+03,4.853014773566215884e-02
5.438683472598982007e+03,7.469590558535599278e-02
5.441531935705338583e+03,3.042864803048331984e-02
5.444380398811696068e+03,6.203543230438025163e-02
5.447228861918051734e+03,9.394609453284649692e-02
5.450077325024408310e+03,4.582565384344976234e-02
5.452925788130764886e+03,4.465285407548308383e-02
5.455774251237121462e+03,2.390750433905080782e-02
5.458622714343477128e+03,2.148055541828794088e-02
5.461471177449833704e+03,5.314558342927808154e-02
5.464319640556190279e+03,3.157715579743641116e-02
5.467168103662545946e+03,4.984672352406660512e-02
5.470016566768903431e+03,3.712870659978491361e-02
5.472865029875260007e+03,2.334291912102988420e-02
5.475713492981616582e+03,4.727349049125163100e-02
5.478561956087973158e+03,2.933188710461071338e-02
5.481410419194328824e+03,8.966034843801080900e-02
5.484258882300685400e+03,6.096197405246949613e-02
5.487107345407041976e+03,3.801820674937703842e-02
5.489955808513398551e+03,4.502641098680532084e-02
5.492804271619754218e+03,2.888369820334980506e-02
5.495652734726111703e+03,5.531682765815405106e-02
5.498501197832468279e+03,3.586449197075488454e-02
5.501349660938824854e+03,4.152175818538244439e-02
5.504198124045180521e+03,3.267183129412671444e-02
5.507046587151537096e+03,2.066904914314028965e-02
5.509895050257893672e+03,4.951032989180595423e-02
5.512743513364250248e+03,4.750095763757706396e-02
5.515591976470605914e+03,5.473957042270850837e-02
5.518440439576963399e+03,5.436660371161878419e-02
5.521288902683319975e+03,2.901792250962419509e-02
5.524137365789676551e+03,5.537107680817623251e-02
5.526985828896033127e+03,8.391550611097731149e-02
5.529834292002388793e+03,8.839612201903894462e-02
5.532682755108745368e+03,5.799377006720080052e-02
5.535531218215101944e+03,2.776925157228862101e-02
5.538379681321458520e+03,4.365455526084388582e-02
5.541228144427814186e+03,2.408143992807625089e-02
5.544076607534171671e+03,6.279293528495297205e-02
5.546925070640528247e+03,4.896728873014865452e-02
5.549773533746884823e+03,5.886018771124511967e-02
5.552621996853240489e+03,5.634746941691609612e-02
5.555470459959597065e+03,8.084588323180366687e-02
5.558318923065953641e+03,5.658139456363669995e-02
5.561167386172310216e+03,6.888392433104635615e-02
5.564015849278665883e+03,3.719683005444678059e-02
5.566864312385022458e+03,3.010210655785183764e-02
5.569712775491379944e+03,-1.715960994914905724e-02
5.572561238597736519e+03,4.955544791875825424e-03
5.575409701704093095e+03,6.713800741814358874e-02
5.578258164810448761e+03,5.749272155981004218e-02
5.581106627916805337e+03,2.696951484704814689e-02
5.583955091023161913e+03,7.752141381036027623e-02
5.586803554129517579e+03,8.842448278531606087e-02
5.589652017235874155e+03,4.601103253747117205e-02
5.592500480342230730e+03,4.651053737971109353e-02
5.595348943448588216e+03,7.356498353017794367e-02
5.598197406554944791e+03,5.494017352050872827e-02
5.601045869661300458e+03,2.956955433640197015e-02
5.603894332767657033e+03,4.074275528844013144e-02
5.606742795874013609e+03,3.468560739946317112e-02
5.609591258980370185e+03,6.326484493994406766e-02
5.612439722086725851e+03,8.847136830623093806e-02
5.615288185193082427e+03,7.376817426504092556e-02
5.618136648299439003e+03,2.645196141874124954e-02
5.620985111405796488e+03,6.708160302595767011e-02
5.623833574512152154e+03,5.900313206953661932e-02
5.626682037618508730e+03,3.722655922598455680e-02
5.629530500724865306e+03,3.318323663929859113e-02
5.632378963831221881e+03,3.133756166485743289e-02
5.635227426937577548e+03,5.664932201269706757e-02
5.638075890043934123e+03,1.677725351682552227e-02
5.640924353150290699e+03,3.325645745473444076e-02
5.643772816256647275e+03,5.411534545227669746e-02
5.646621279363002941e+03,-1.768539133191226326e-02
5.649469742469360426e+03,4.721486749978748287e-02
5.652318205575717002e+03,3.332945005222316681e-02
5.655166668682073578e+03,3.188598254621309580e-02
5.658015131788428334e+03,2.019665205791403711e-02
5.660863594894785820e+03,1.142309690094957947e-02
5.663712058001143305e+03,3.990039602991011375e-02
5.666560521107498971e+03,1.260914161152076017e-02
5.669408984213854637e+03,5.688116836567185669e-02
5.672257447320212123e+03,2.629806899569332029e-02
5.675105910426568698e+03,4.421324014574093408e-02
5.677954373532925274e+03,4.579381229873880077e-02
5.680802836639280031e+03,3.607385204118172296e-03
5.683651299745637516e+03,6.129720235538805651e-04
5.686499762851995001e+03,5.064752654359869211e-02
5.689348225958350667e+03,3.623480463544188207e-02
5.692196689064707243e+03,1.463939189540558461e-02
5.695045152171064728e+03,5.258169582715674362e-02
5.697893615277420395e+03,7.380758831101695561e-02
5.700742078383776970e+03,3.489868316161558875e-02
5.703590541490132637e+03,4.715214766727725965e-02
5.706439004596490122e+03,6.552434892987389625e-02
5.709287467702846698e+03,1.106470142068873147e-01
5.712135930809202364e+03,6.049117599205084544e-02
5.714984393915558940e+03,6.518897966149603262e-02
5.717832857021914606e+03,5.429154598863475401e-02
5.720681320128272091e+03,7.524984401984333160e-02
5.723529783234628667e+03,9.821932317312496996e-02
5.726378246340984333e+03,7.239506679620841267e-02
5.729226709447341818e+03,4.769615467185360502e-02
5.732075172553699304e+03,5.236887165789013560e-02
5.734923635660054060e+03,4.357325972831349592e-02
5.737772098766410636e+03,4.127698716569243309e-02
5.740620561872767212e+03,3.246958752284537925e-02
5.743469024979124697e+03,3.160674257405356874e-02
5.746317488085480363e+03,7.552027300369695828e-02
5.749165951191836029e+03,4.107828915250029411e-02
5.752014414298193515e+03,4.889665926094932669e-02
5.754862877404549181e+03,6.207601971699657634e-02
5.757711340510905757e+03,1.501182842875817790e-02
5.760559803617262332e+03,2.530168441978902436e-02
5.763408266723618908e+03,3.127109748898101310e-02
5.766256729829976393e+03,1.333177687893173473e-02
5.769105192936331150e+03,4.542420180010368902e-02
5.771953656042687726e+03,2.061800220306590076e-02
5.774802119149045211e+03,2.096596247758152759e-02
5.777650582255401787e+03,4.176011023612304085e-02
5.780499045361757453e+03,2.370123984246197413e-02
5.783347508468113119e+03,1.643018503942137234e-02
5.786195971574470605e+03,7.674121604483506720e-02
5.789044434680828090e+03,8.540842780998342265e-02
5.791892897787182847e+03,8.248169664006010926e-02
5.794741360893539422e+03,4.119826683216665925e-02
5.797589823999896907e+03,4.398937506838919431e-02
5.800438287106253483e+03,4.708561505741213488e-02
5.803286750212609149e+03,2.983550327072551772e-02
5.806135213318964816e+03,1.819207351141842108e-02
5.808983676425322301e+03,4.574595887309081121e-02
5.811832139531679786e+03,3.088124780259801985e-02
5.814680602638034543e+03,3.827762537200940507e-02
5.817529065744391119e+03,2.658577505192386697e-02
5.820377528850748604e+03,9.528501868184959672e-03
5.823225991957105180e+03,4.191692586859805530e-02
5.826074455063461755e+03,3.962080208654870234e-02
5.828922918169816512e+03,6.041400066036443917e-02
5.831771381276173997e+03,3.357086988713556958e-02
5.834619844382531483e+03,2.674908229292309245e-02
5.837468307488886239e+03,2.320732162537109816e-02
5.840316770595242815e+03,5.074268948516543615e-02
5.843165233701599391e+03,6.828251167402581145e-02
5.846013696807956876e+03,4.319418111073769495e-02
5.848862159914313452e+03,4.486577203191557950e-02
5.851710623020668208e+03,3.059288626206410622e-02
5.854559086127025694e+03,6.967812197049250145e-02
5.857407549233383179e+03,3.489338853355687664e-02
5.860256012339738845e+03,4.317276333937614813e-02
5.863104475446094511e+03,5.443699392093273581e-02
5.865952938552451087e+03,9.038504462394272854e-02
5.868801401658808572e+03,4.264653820590246641e-02
5.871649864765165148e+03,2.173206670413614996e-02
5.874498327871519905e+03,7.297690181418045596e-02
5.877346790977877390e+03,4.857464388906853475e-02
5.880195254084233966e+03,7.932139415163626944e-03
5.883043717190590542e+03,3.213170977808673529e-02
5.885892180296946208e+03,3.508053282737004508e-02
5.888740643403302784e+03,5.383308604644755115e-03
5.891589106509660269e+03,6.612315305344534933e-02
5.894437569616015935e+03,6.162605717307405306e-02
5.897286032722371601e+03,4.486393285255736024e-02
5.900134495828729086e+03,5.470948302938362373e-02
5.902982958935085662e+03,6.353355587897012435e-02
5.905831422041442238e+03,4.103973586548601699e-02
5.908679885147796995e+03,4.446215489159877771e-02
5.911528348254154480e+03,4.263884588946425386e-02
5.914376811360511965e+03,4.372289029963154217e-02
5.917225274466867631e+03,5.877223585808608736e-02
5.920073737573223298e+03,4.453972286023554633e-02
5.922922200679580783e+03,3.561735349278389445e-02
5.925770663785937359e+03,4.523455309623531512e-02
5.928619126892293934e+03,4.221898266678755784e-02
5.931467589998648691e+03,7.748410099740372925e-02
5.934316053105006176e+03,4.562119461084602340e-02
5.937164516211363662e+03,7.620385205728814892e-02
5.940012979317719328e+03,5.315155940653028266e-02
5.942861442424075904e+03,3.302222106991069273e-02
5.945709905530431570e+03,3.934473813392335567e-02
5.948558368636789055e+03,3.317297367626582949e-02
5.951406831743145631e+03,6.642154188671132997e-02
5.954255294849501297e+03,6.671584154590165516e-02
5.957103757955858782e+03,5.468382120374361277e-02
5.959952221062215358e+03,4.679228746185905286e-02
5.962800684168571024e+03,6.230917423373273645e-02
5.965649147274927600e+03,6.244749703361782145e-02
5.968497610381283266e+03,5.163504193228495714e-02
5.971346073487640751e+03,6.492776823176595047e-02
5.974194536593997327e+03,7.199004616703448545e-02
5.977042999700352993e+03,3.541485055650917674e-02
5.979891462806710479e+03,5.094457391208979252e-02
5.982739925913067964e+03,1.602711668452693264e-02
5.985588389019422721e+03,3.846303082573063886e-02
5.988436852125779296e+03,1.587184227158511263e-02
5.991285315232135872e+03,1.829101549018315696e-03
5.994133778338493357e+03,1.803493698588454555e-02
5.996982241444849024e+03,2.067134759185734055e-02
5.999830704551204690e+03,5.833113705728885934e-02
6.002679167657562175e+03,3.934414165290329307e-02
6.005527630763917841e+03,7.329711866452290336e-02
6.008376093870274417e+03,4.988980574995062478e-02
6.011224556976630993e+03,6.941433174017305752e-02
6.014073020082987568e+03,1.675316051377491108e-02
6.016921483189345054e+03,2.845434884011690396e-02
6.019769946295699810e+03,3.316676554366938118e-02
6.022618409402056386e+03,3.329311949563025508e-02
6.025466872508413871e+03,5.031975173660704903e-02
6.028315335614770447e+03,6.210172070193617500e-02
6.031163798721126113e+03,7.736896336489380854e-02
6.034012261827481780e+03,8.525959083230942592e-02
6.036860724933839265e+03,6.114920953364311879e-02
6.039709188040196750e+03,3.803295467981167993e-02
6.042557651146551507e+03,3.883534715467745757e-02
6.045406114252908083e+03,4.956704295948159700e-02
6.048254577359265568e+03,4.672976241047965829e-02
6.051103040465622144e+03,4.234331411682392549e-02
6.053951503571977810e+03,4.158897680184161366e-02
6.056799966678333476e+03,1.935899130600437709e-02
6.059648429784690961e+03,3.430182873925046588e-02
6.062496892891048446e+03,4.553833790727896541e-02
6.065345355997403203e+03,4.896367286792645268e-02
6.068193819103759779e+03,2.904009948510868216e-02
6.071042282210116355e+03,3.839970055784974745e-02
6.073890745316473840e+03,4.056464133389654780e-02
6.076739208422830416e+03,5.624121349102895878e-02
6.079587671529185172e+03,4.177263907169203455e-02
6.082436134635542658e+03,5.123525114886518655e-02
6.085284597741900143e+03,6.076837802496882351e-02
6.088133060848254900e+03,8.245848265060843132e-03
6.090981523954611475e+03,1.093973374896389621e-02
6.093829987060968051e+03,5.156564783407244917e-02
6.096678450167325536e+03,1.814930355067290516e-02
6.099526913273682112e+03,8.002517549929274998e-02
6.102375376380036869e+03,3.741757086647700542e-02
6.105223839486394354e+03,4.283353091595205886e-02
6.108072302592751839e+03,5.928813465845286790e-02
6.110920765699107505e+03,2.725669554151212426e-02
6.113769228805463172e+03,4.863104756045557447e-02
6.116617691911819747e+03,3.645927176084408361e-02
6.119466155018177233e+03,4.823020371510191445e-02
6.122314618124533808e+03,2.808354886443383686e-02
6.125163081230888565e+03,5.813626278153127130e-02
6.128011544337246050e+03,5.480050599968940006e-02
6.130860007443602626e+03,3.936463212834042519e-02
6.133708470549959202e+03,5.020355308087895430e-02
6.136556933656314868e+03,6.135007527714026604e-02
6.139405396762671444e+03,2.603843546550230550e-02
6.142253859869028929e+03,4.713926187886403885e-02
6.145102322975384595e+03,6.915242891922192617e-03
6.147950786081740262e+03,5.677357458119541150e-02
6.150799249188097747e+03,5.922869937015406289e-02
6.153647712294454323e+03,6.631640998822797839e-02
6.156496175400810898e+03,8.539625832475254696e-02
6.159344638507165655e+03,7.505132427806135431e-02
6.162193101613523140e+03,5.404604804394092660e-02
6.165041564719880625e+03,5.924331985538083128e-02
6.167890027826236292e+03,4.651516343197204667e-02
6.170738490932591958e+03,2.943581873433701382e-02
6.173586954038949443e+03,4.882453422783564201e-02
6.176435417145306019e+03,6.247030067452735008e-02
6.179283880251662595e+03,3.744623115194115059e-02
6.182132343358017351e+03,6.318193324916432374e-02
6.184980806464374837e+03,4.443938294436346886e-02
6.187829269570732322e+03,4.936159108879042967e-02
6.190677732677087988e+03,6.028384053702124518e-02
6.193526195783444564e+03,6.529858197791682528e-02
6.196374658889800230e+03,5.104641614995149984e-02
6.199223121996157715e+03,3.616127342862635041e-02
6.202071585102514291e+03,6.705642340849576888e-02
6.204920048208869957e+03,3.720436780717974179e-02
6.207768511315227443e+03,6.290126849170886436e-02
6.210616974421584018e+03,5.547370794207887729e-02
6.213465437527939685e+03,4.492897710045844206e-02
6.216313900634296260e+03,4.122704163833790930e-02
6.219162363740651926e+03,3.528271262862050367e-02
6.222010826847009412e+03,3.489296273096677975e-02
6.224859289953365987e+03,4.976925813845001212e-02
6.227707753059721654e+03,2.848993453610438806e-02
6.230556216166079139e+03,6.322037687498957559e-02
6.233404679272434805e+03,3.181420573349241082e-02
6.236253142378791381e+03,3.899451813912116482e-02
6.239101605485147957e+03,4.451048237741804525e-02
6.241950068591504532e+03,6.857844340028970698e-02
6.244798531697862018e+03,5.352804856332381983e-02
6.247646994804216774e+03,6.797580643074109530e-02
6.250495457910573350e+03,5.549854366015700979e-02
6.253343921016930835e+03,3.960457967902132614e-02
6.256192384123286502e+03,2.241785506498164895e-02
6.259040847229643077e+03,4.444916712255623376e-02
6.261889310335998744e+03,2.882724534687835030e-02
6.264737773442356229e+03,2.484251160355114771e-02
6.267586236548713714e+03,2.252681377561745885e-02
6.270434699655068471e+03,3.796077629537220749e-02
6.273283162761425046e+03,6.002524510585375422e-02
6.276131625867782532e+03,4.043259867995397522e-02
6.278980088974139107e+03,5.633478293225337163e-02
6.281828552080494774e+03,3.537571874432055008e-02
6.284677015186850440e+03,4.932852412543803529e-03
6.287525478293207925e+03,4.252022687305118120e-02
6.290373941399565410e+03,4.156091627380974207e-02
6.293222404505920167e+03,2.731963446725946265e-02
6.296070867612276743e+03,5.604739663808094852e-02
6.298919330718634228e+03,2.598737669838860689e-02
6.301767793824990804e+03,5.767099904255930387e-02
6.304616256931346470e+03,5.239033466576736159e-02
6.307464720037702136e+03,3.924892987833236702e-02
6.310313183144059622e+03,6.513067549803805423e-02
6.313161646250417107e+03,3.936839140862405384e-02
6.316010109356771864e+03,4.880231546975390827e-02
6.318858572463128439e+03,4.911767449858162049e-02
6.321707035569485015e+03,3.108648920375148630e-02
6.324555498675842500e+03,6.388580302552976375e-02
6.327403961782199076e+03,5.482270788817291546e-02
6.330252424888553833e+03,4.260353936606058045e-02
6.333100887994911318e+03,4.775650652061868423e-02
6.335949351101268803e+03,6.313298557992853832e-02
6.338797814207623560e+03,7.511757733968488226e-02
6.341646277313980136e+03,4.511503946194514447e-02
6.344494740420336711e+03,4.173870013999333300e-02
6.347343203526694197e+03,3.712522608857931478e-02
6.350191666633050772e+03,5.362980511670412120e-02
6.353040129739405529e+03,2.764084993570179935e-02
6.355888592845763014e+03,6.791496896724419363e-02
6.358737055952119590e+03,3.698252605120574965e-02
6.361585519058476166e+03,3.822682533860753684e-02
6.364433982164831832e+03,5.361589781160230883e-02
6.367282445271188408e+03,7.868738584342128972e-02
6.370130908377545893e+03,1.715135390026534951e-02
6.372979371483901559e+03,4.230140889305742530e-02
6.375827834590257225e+03,4.652096092284380147e-02
6.378676297696614711e+03,3.886293332052341565e-02
6.381524760802971286e+03,2.586291958939642560e-02
6.384373223909327862e+03,4.261537218584624670e-02
6.387221687015682619e+03,-1.497184379703314638e-02
6.390070150122040104e+03,2.168289377975415530e-02
6.392918613228397589e+03,2.774074439147128368e-02
6.395767076334753256e+03,2.324872838499168065e-02
6.398615539441108922e+03,7.185485619926376688e-02
6.401464002547466407e+03,4.867720134892328243e-02
6.404312465653822983e+03,6.001542264495342283e-02
6.407160928760179559e+03,4.517330986455947439e-02
6.410009391866534315e+03,5.809693093066396058e-03
6.412857854972891801e+03,1.296277066044085151e-02
6.415706318079249286e+03,8.653232382081273155e-03
6.418554781185604952e+03,3.286671741525853258e-02
6.421403244291961528e+03,6.345945419820929467e-02
6.424251707398318104e+03,4.834807715721747140e-02
6.427100170504674679e+03,2.711634819022283940e-02
6.429948633611031255e+03,2.850140837377484679e-02
6.432797096717386012e+03,2.232816964512318245e-02
6.435645559823743497e+03,5.265942066389066312e-02
